u1	u2	nobservations	iqr
1	6.382352941176471	34	3.0
2	5.592592592592593	54	2.5
3	6.0562770562770565	77	2.333333333333333
4	5.99468085106383	94	1.9375
5	5.525925925925924	108	1.7999999999999998
6	5.7698412698412715	105	2.166666666666666
7	5.864741641337385	94	1.5357142857142856
8	5.911337209302325	86	1.5625
9	5.760064412238325	69	1.1111111111111107
10	5.921568627450981	51	1.0999999999999996
11	6.096363636363637	50	1.4090909090909092
12	6.121621621621622	37	0.9166666666666661
13	5.864721485411142	29	1.3076923076923075
14	6.049107142857142	16	1.5178571428571432
15	5.945454545454544	11	1.0999999999999996
16	6.03125	14	1.296875
17	5.6832579185520355	13	1.0588235294117645
18	5.75462962962963	12	0.7361111111111107
19	6.131578947368421	4	1.3421052631578947
20	5.566666666666667	3	0.5
21	5.75	4	0.9166666666666661
22	5.527272727272727	5	0.954545454545455
23	5.978260869565217	2	0.2391304347826093
24	5.9375	2	0.4791666666666661
25	5.16	5	0.6000000000000005
26	5.576923076923077	1	0.0
27	5.5	2	0.12962962962962976
29	5.586206896551724	1	0.0
30	7.366666666666666	1	0.0
33	8.757575757575758	1	0.0
