u1	u2	nobservations	iqr
1	4.660479505027069	1293	4.0
2	5.797669491525424	472	3.5
3	5.867231638418079	354	2.333333333333333
4	5.9873271889400925	217	2.25
5	5.9461538461538455	130	2.1500000000000004
6	5.718749999999998	112	2.666666666666667
7	5.993406593406593	65	1.7142857142857144
8	5.93125	60	1.625
9	6.152173913043477	46	1.6388888888888893
10	6.068965517241379	29	0.9000000000000004
11	5.593939393939395	30	1.1136363636363642
12	5.91	25	1.666666666666667
13	6.198717948717948	12	0.6730769230769234
14	5.485714285714286	10	0.6607142857142856
15	5.4	5	0.5333333333333332
16	5.791666666666667	6	1.109375
17	5.764705882352941	5	0.41176470588235325
18	5.833333333333333	1	0.0
19	5.552631578947368	2	0.18421052631578938
20	5.566666666666666	3	1.7999999999999998
21	5.214285714285714	2	0.3095238095238084
23	6.304347826086956	1	0.0
26	5.346153846153846	1	0.0
