u1	u2	nobservations	iqr
2	4.5	1	0.0
3	6.428571428571429	7	1.4999999999999991
4	6.104166666666667	12	1.3125
5	5.8571428571428585	28	2.0999999999999996
6	5.949275362318841	23	2.083333333333334
7	6.073469387755101	35	1.3571428571428568
8	5.9375	44	1.1875
9	6.0	44	1.166666666666666
10	6.05945945945946	37	1.2000000000000002
11	6.080338266384777	43	1.5000000000000009
12	5.927350427350427	39	1.25
13	5.937500000000001	32	1.0576923076923075
14	6.222857142857142	25	0.8571428571428577
15	5.925925925925926	27	1.2999999999999998
16	6.197916666666667	24	1.046875
17	5.536332179930796	17	1.117647058823529
18	5.632275132275132	21	1.0555555555555554
19	5.855263157894736	8	0.8289473684210531
20	5.913636363636363	11	0.7000000000000002
21	6.238095238095238	12	0.511904761904761
22	5.76969696969697	15	1.0227272727272734
23	5.4808184143222505	17	0.6086956521739131
24	6.388888888888889	3	0.916666666666667
25	5.192	5	0.7999999999999998
26	5.269230769230769	6	0.39423076923077005
27	5.37962962962963	4	0.12037037037037024
28	5.517857142857142	2	0.08928571428571441
29	5.358620689655173	5	0.1379310344827589
30	6.316666666666666	2	1.049999999999999
31	5.951612903225806	2	0.5645161290322589
32	6.171875	2	0.421875
33	7.333333333333334	2	1.4242424242424239
34	6.014705882352941	2	0.27941176470588225
35	5.3	4	0.1714285714285717
36	5.805555555555555	1	0.0
37	5.121621621621621	2	0.4459459459459465
39	5.6923076923076925	1	0.0
47	4.617021276595745	1	0.0
