u1	u2	nobservations	iqr
1	4.758928571428571	224	1.0
2	4.139830508474576	118	1.5
3	3.7229080932784644	243	1.333333333333333
4	3.661812297734628	309	0.75
5	3.710440835266821	431	1.0
6	3.6164021164021163	567	0.8333333333333335
7	3.6321195144724547	612	0.7142857142857144
8	3.649089529590288	659	0.75
9	3.673734385272849	676	0.6666666666666665
10	3.626455906821964	601	0.6000000000000001
11	3.683728036669212	595	0.6363636363636362
12	3.6657355679702057	537	0.6666666666666665
13	3.6988970061595707	537	0.46153846153846123
14	3.6958074534161494	460	0.6428571428571428
15	3.6598698481561818	461	0.5333333333333332
16	3.6829912935323383	402	0.5625
17	3.7144353290277543	337	0.47058823529411775
18	3.6980599647266352	315	0.5
19	3.7258853453335936	269	0.5263157894736841
20	3.757466063348417	221	0.4500000000000002
21	3.713356562137049	205	0.5714285714285716
22	3.7356020942408383	191	0.5
23	3.7681159420289863	147	0.4565217391304346
24	3.779513888888888	144	0.4583333333333335
25	3.722962962962964	108	0.6000000000000001
26	3.78084935897436	96	0.5
27	3.7822944896115622	82	0.4722222222222219
28	3.79503105590062	69	0.5
29	3.8250319284802043	54	0.6206896551724137
30	3.800564971751414	59	0.5166666666666666
31	3.77217741935484	48	0.4838709677419355
32	3.7212837837837838	37	0.34375
33	3.781385281385281	28	0.3939393939393936
34	3.8899782135076246	27	0.3823529411764701
35	3.785714285714285	24	0.3928571428571428
36	3.891666666666667	20	0.38888888888888884
37	3.7709137709137712	21	0.45945945945945965
38	3.8453947368421044	8	0.42763157894736814
39	3.826007326007327	14	0.46794871794871806
40	3.838636363636364	11	0.3125
41	3.7707317073170734	5	0.26829268292682906
42	3.9761904761904763	12	0.5654761904761907
43	3.808139534883721	8	0.5116279069767442
44	4.123106060606061	12	0.3295454545454537
45	3.5444444444444443	2	0.12222222222222268
46	4.1347826086956525	5	0.08695652173912993
47	3.9621749408983455	9	0.44680851063829774
48	3.631944444444444	3	0.34375
49	3.724489795918368	4	0.26530612244897966
50	3.7866666666666666	3	0.03000000000000025
51	3.8823529411764706	3	0.13725490196078471
52	3.860576923076923	4	0.1875
53	4.30188679245283	1	0.0
54	3.537037037037037	1	0.0
55	3.0727272727272728	1	0.0
56	4.101190476190475	3	0.3392857142857144
57	4.456140350877193	2	0.7192982456140351
62	4.145161290322581	1	0.0
70	3.8714285714285714	1	0.0
81	3.2222222222222223	1	0.0
95	4.2631578947368425	1	0.0
124	4.241935483870968	1	0.0
131	4.282442748091603	1	0.0
