u1	u2	nobservations	iqr
1	6.306818181818182	704	3.0
2	6.603982300884955	1130	2.0
3	6.58632193494579	1199	2.333333333333334
4	6.428994082840236	1014	1.75
5	6.432722832722839	819	1.5
6	6.510898458266877	627	1.5
7	6.456521739130438	414	1.4285714285714288
8	6.416800643086817	311	1.3125
9	6.514141414141414	220	1.2222222222222214
10	6.4506849315068475	146	1.0999999999999996
11	6.533868092691622	102	1.25
12	6.351325757575761	88	1.291666666666667
13	6.797008547008549	36	1.0384615384615383
14	6.559907834101382	31	0.8214285714285712
15	6.558333333333334	24	1.5999999999999996
16	6.431547619047619	21	1.0625
17	6.5058823529411764	10	0.6029411764705888
18	6.222222222222221	14	0.9027777777777768
19	6.824561403508771	3	0.2631578947368425
20	6.909999999999999	5	0.25
21	6.161904761904762	5	1.4761904761904763
22	6.625	4	0.7159090909090899
23	6.391304347826087	3	1.195652173913044
24	7.125	2	0.5416666666666661
27	4.333333333333333	1	0.0
