u1	u2	nobservations	iqr
1	8.0	3	5.0
2	6.852459016393443	61	2.5
3	6.682445759368836	169	2.0
4	6.258	250	1.75
5	6.390390390390389	333	1.7999999999999998
6	6.474999999999999	340	1.5
7	6.335403726708074	322	1.4285714285714288
8	6.3786764705882355	306	1.34375
9	6.484320557491292	287	1.2222222222222214
10	6.4784860557768935	251	1.0999999999999996
11	6.511111111111116	225	1.2727272727272725
12	6.506704980842913	174	1.229166666666667
13	6.528693528693527	126	1.0
14	6.523351648351645	104	0.875
15	6.513553113553115	91	1.3000000000000007
16	6.498214285714286	70	1.046875
17	6.71657754010695	55	0.8823529411764701
18	6.308641975308643	54	1.1388888888888884
19	6.341256366723261	31	1.0
20	6.761842105263158	38	1.0374999999999996
21	6.780045351473923	21	0.6666666666666661
22	6.329090909090909	25	1.4090909090909092
23	6.703804347826088	16	0.8478260869565224
24	6.703703703703704	9	0.583333333333333
25	6.959999999999999	8	0.3799999999999999
26	6.205128205128204	9	0.384615384615385
27	6.65925925925926	5	0.7407407407407414
28	6.982142857142858	4	0.2142857142857144
29	7.862068965517241	4	0.4482758620689653
30	6.105555555555555	6	0.4083333333333341
31	6.67741935483871	2	0.5483870967741931
32	6.75	5	0.28125
33	6.494949494949495	3	1.2575757575757578
34	6.3235294117647065	3	0.3235294117647056
35	7.3428571428571425	2	0.22857142857142954
36	5.87962962962963	3	0.8333333333333321
37	6.47972972972973	4	0.29054054054053946
38	5.7631578947368425	1	0.0
40	6.55	1	0.0
41	6.073170731707317	1	0.0
42	6.714285714285714	1	0.0
