u1	u2	nobservations	iqr
1	4.153986332574032	2195	2.0
2	4.537640449438202	890	2.5
3	4.459244532803181	503	1.9999999999999996
4	4.413432835820895	335	2.0
5	4.4702479338843	242	1.6
6	4.5897435897435885	143	1.916666666666666
7	4.580451127819547	95	1.214285714285714
8	4.807894736842106	95	1.4375
9	4.552238805970148	67	1.1111111111111107
10	4.56153846153846	52	1.4000000000000004
11	4.574780058651027	31	0.8636363636363642
12	4.752976190476191	28	1.083333333333333
13	4.398190045248869	17	0.7692307692307687
14	4.619047619047619	9	0.5
15	5.158333333333333	8	1.6499999999999995
16	4.609375	4	1.390625
17	4.588235294117647	4	1.5588235294117645
