u1	u2	nobservations	iqr
1	6.666666666666667	6	3.75
2	5.0	27	4.5
3	4.982456140350876	57	2.3333333333333335
4	4.813432835820896	67	1.75
5	4.581176470588236	85	1.4000000000000004
6	4.5562499999999995	80	1.5000000000000004
7	4.342465753424656	73	1.7142857142857149
8	4.504237288135593	59	1.125
9	4.5405982905982905	52	1.2777777777777777
10	4.501470588235294	68	1.0000000000000004
11	4.459459459459458	74	1.0454545454545454
12	4.362573099415205	57	1.166666666666667
13	4.349650349650347	44	0.8653846153846154
14	4.606312292358805	43	1.1785714285714288
15	4.5090909090909115	33	0.7999999999999998
16	4.391891891891892	37	0.875
17	4.305147058823529	32	0.9558823529411766
18	4.586956521739131	23	1.0555555555555554
19	4.6225045372050815	29	1.315789473684211
20	4.523809523809523	21	0.75
21	4.531135531135531	13	1.0476190476190474
22	5.034965034965034	13	0.5909090909090908
23	4.637681159420289	6	0.3478260869565215
