u1	u2	nobservations	iqr
1	5.522123893805309	113	3.0
2	4.409385113268608	309	2.0
3	4.154732510288067	405	1.3333333333333335
4	4.13238188976378	508	1.5
5	4.187829614604462	493	1.4
6	4.127615062761508	478	1.166666666666667
7	4.320496894409937	345	1.1428571428571423
8	4.360197368421052	304	1.125
9	4.355896126011069	261	1.2222222222222228
10	4.517801047120417	191	1.0
11	4.389456697149003	169	1.272727272727273
12	4.3611111111111125	144	0.9166666666666665
13	4.446886446886446	105	1.0000000000000004
14	4.431034482758621	87	1.0357142857142856
15	4.427192982456142	76	0.9499999999999997
16	4.661764705882353	68	0.84375
17	4.507099391480729	58	0.882352941176471
18	4.408983451536642	47	0.6944444444444446
19	4.368421052631579	27	0.7894736842105265
20	4.453333333333333	15	0.5249999999999986
21	4.6208791208791204	26	0.916666666666667
22	4.6565656565656575	18	0.6590909090909101
23	4.5	14	0.9239130434782599
24	4.305555555555555	12	1.0729166666666665
25	4.492	10	0.5899999999999999
26	4.582417582417582	7	0.5576923076923075
27	4.518518518518518	4	0.8703703703703707
28	4.5476190476190474	9	0.75
29	4.701149425287357	6	0.1637931034482758
30	4.949999999999999	2	0.08333333333333304
31	4.473118279569892	3	0.435483870967742
32	4.5	2	0.125
33	4.0	1	0.0
36	4.722222222222222	1	0.0
40	5.6	1	0.0
