u1	u2	nobservations	iqr
1	2.824424576754803	5257	1.0
2	4.224251278305332	1369	2.0
3	4.229418221734359	911	1.9999999999999991
4	4.333210059171598	676	1.5625
5	4.422172949002216	451	1.6
6	4.215397215397216	407	1.5833333333333326
7	4.297619047619048	336	1.4285714285714284
8	4.34726821192053	302	1.25
9	4.351182507809016	249	1.2222222222222228
10	4.28168316831683	202	0.8750000000000009
11	4.35233415233415	185	1.0909090909090913
12	4.41666666666667	154	1.1666666666666665
13	4.375534188034187	144	0.9423076923076921
14	4.339026915113874	138	0.9285714285714288
15	4.344973544973547	126	1.0499999999999998
16	4.304123711340206	97	0.9375
17	4.350762527233115	81	1.0000000000000004
18	4.291887125220459	63	0.7500000000000004
19	4.412898443291327	71	0.8421052631578947
20	4.6	60	0.9000000000000004
21	4.5633423180593	53	0.9523809523809526
22	4.287878787878788	48	0.6931818181818188
23	4.466266866566716	29	0.9130434782608701
24	4.3203125	32	0.604166666666667
25	4.284000000000001	20	0.7399999999999998
26	4.6	15	0.17307692307692335
27	4.452380952380952	14	0.3981481481481479
28	4.848214285714286	8	0.7589285714285712
29	4.398467432950191	9	0.7241379310344831
30	4.26060606060606	11	0.43333333333333357
31	4.435483870967742	6	0.741935483870968
32	4.260416666666667	3	0.328125
34	4.970588235294118	3	0.4852941176470589
35	4.2857142857142865	2	0.11428571428571388
36	4.347222222222222	2	0.20833333333333393
37	3.918918918918919	1	0.0
38	4.631578947368421	2	0.552631578947369
39	3.8974358974358974	1	0.0
42	4.309523809523809	1	0.0
48	3.5208333333333335	1	0.0
