u1	u2	nobservations	iqr
1	6.546038543897216	467	3.0
2	5.500768049155146	651	2.5
3	5.3182234432234425	728	2.333333333333333
4	5.255040322580645	744	2.0
5	5.333	600	1.7999999999999998
6	5.212301587301585	504	1.666666666666667
7	5.508330379298122	403	1.5714285714285712
8	5.481312292358804	301	1.375
9	5.432314410480347	229	1.4444444444444438
10	5.615476190476192	168	1.4000000000000004
11	5.669786096256685	136	1.295454545454545
12	5.619186046511629	86	1.375
13	5.550480769230772	64	1.4038461538461533
14	5.591036414565824	51	1.0
15	5.808333333333334	32	1.5999999999999996
16	5.892045454545454	22	1.5
17	5.799307958477509	17	1.0
18	5.751851851851852	15	1.1944444444444438
19	5.756578947368421	8	0.8947368421052628
20	5.916666666666667	6	1.325000000000001
21	5.75	4	0.3690476190476186
22	6.409090909090909	3	0.8636363636363642
23	6.144927536231884	3	1.5434782608695645
25	5.699999999999999	2	0.8199999999999994
26	5.038461538461538	2	0.1923076923076934
28	6.357142857142858	2	0.5357142857142856
29	7.0344827586206895	1	0.0
32	5.4375	1	0.0
37	6.891891891891892	1	0.0
