u1	u2	nobservations	iqr
1	4.095190001262467	7921	3.0
2	5.561781609195402	2436	3.0
3	5.703987730061359	1304	2.666666666666667
4	5.819044879171462	869	2.5
5	5.654109589041093	584	2.0
6	5.576086956521739	414	1.666666666666666
7	5.802232142857147	320	1.8571428571428577
8	5.541666666666667	231	1.5
9	5.443144899285252	171	1.666666666666667
10	5.692248062015501	129	1.2000000000000002
11	5.911547911547912	111	1.454545454545455
12	5.588744588744588	77	1.583333333333333
13	5.611388611388614	77	1.384615384615385
14	5.768398268398268	33	1.1428571428571423
15	5.793939393939393	22	1.1499999999999995
16	5.857142857142857	14	1.171875
17	5.852941176470588	8	0.5294117647058814
18	5.746913580246915	9	1.166666666666667
19	6.010526315789474	5	0.21052631578947345
20	5.125	2	0.6749999999999989
21	5.714285714285714	3	0.9285714285714288
22	6.181818181818182	1	0.0
23	6.130434782608695	1	0.0
24	7.083333333333333	1	0.0
29	5.620689655172414	1	0.0
