u1	u2	nobservations	iqr
1	6.740518962075848	501	5.0
2	5.985677083333333	384	3.0
3	5.366559485530547	311	3.0000000000000004
4	5.239304812834225	187	2.75
5	5.452032520325205	123	2.5999999999999996
6	4.630341880341878	78	1.4583333333333335
7	4.832884097035041	53	1.4285714285714284
8	4.552884615384615	26	1.3125
9	4.756613756613756	21	1.4444444444444446
10	4.38235294117647	17	1.4
11	5.060606060606061	3	0.5
12	4.976190476190476	7	0.833333333333333
13	3.8205128205128207	3	0.4615384615384617
14	5.214285714285714	3	0.4285714285714288
15	3.066666666666667	1	0.0
16	3.0	2	0.25
17	6.823529411764706	1	0.0
18	6.666666666666667	1	0.0
