u1	u2	nobservations	iqr
1	2.834331337325349	501	2.0
2	3.0	384	1.0
3	2.8831725616291535	311	1.0
4	2.8328877005347595	187	1.0
5	2.879674796747966	123	1.0
6	2.7051282051282044	78	0.833333333333333
7	2.7466307277628035	53	0.8571428571428572
8	2.6201923076923075	26	0.84375
9	2.582010582010582	21	0.4444444444444442
10	2.51764705882353	17	0.5
11	2.6666666666666665	3	0.5454545454545454
12	2.666666666666667	7	0.541666666666667
13	2.256410256410257	3	0.19230769230769207
14	2.380952380952381	3	0.25
15	2.2666666666666666	1	0.0
16	2.1875	2	0.3125
17	2.8823529411764706	1	0.0
18	2.2777777777777777	1	0.0
