u1	u2	nobservations	iqr
1	2.6363636363636362	22	3.0
2	6.693548387096774	31	2.5
3	5.907407407407408	54	2.333333333333333
4	5.325	60	2.0625
5	5.617391304347825	69	1.8000000000000007
6	5.30888888888889	75	1.833333333333334
7	5.446808510638298	94	1.5357142857142865
8	5.341755319148936	94	1.5
9	5.1841269841269835	70	1.5277777777777786
10	5.446575342465755	73	1.0
11	5.577331759149939	77	1.4545454545454541
12	5.418918918918918	74	1.166666666666667
13	5.347826086956523	69	1.1538461538461533
14	5.319548872180451	76	1.2321428571428577
15	5.4797619047619035	56	1.1333333333333337
16	5.475694444444445	54	1.109375
17	5.580882352941177	56	1.0588235294117645
18	5.395833333333333	40	0.9166666666666661
19	5.382775119617225	44	0.9736842105263168
20	5.510869565217391	46	0.8250000000000002
21	5.421768707482995	35	1.3809523809523805
22	5.639204545454545	32	0.9318181818181817
23	5.704106280193239	36	0.8804347826086953
24	5.422222222222221	30	0.8229166666666661
25	5.325333333333334	30	1.2199999999999998
26	5.513986013986013	22	0.7499999999999991
27	5.4320987654321	30	0.731481481481481
28	5.306650246305421	29	1.1071428571428568
29	5.2577996715927755	21	0.6551724137931032
30	5.59047619047619	14	0.7833333333333332
31	5.576612903225807	24	0.838709677419355
32	5.419270833333333	12	1.0625
33	5.537878787878787	8	0.5000000000000009
34	5.430340557275541	19	0.5
35	5.3979591836734695	14	1.6071428571428577
36	5.666666666666667	13	1.083333333333333
37	5.251351351351352	10	0.8851351351351351
38	5.322368421052632	4	0.49342105263157876
39	5.191142191142191	11	0.5641025641025639
40	5.415909090909091	11	0.7875000000000014
41	5.365853658536586	3	1.1463414634146343
42	5.777777777777779	3	0.4166666666666661
43	5.22093023255814	6	0.4593023255813957
44	5.454545454545455	7	0.8977272727272725
45	5.231746031746032	7	0.3888888888888893
46	5.156521739130435	5	0.47826086956521774
47	5.829787234042553	6	0.6010638297872353
48	5.375	3	0.8229166666666661
49	5.275510204081632	2	0.6428571428571423
50	5.5600000000000005	4	0.7800000000000002
51	5.0	2	0.27450980392156943
52	5.211538461538461	3	0.4134615384615383
53	5.9547169811320755	5	1.3584905660377364
54	5.527777777777779	2	0.7685185185185182
55	5.593939393939394	3	0.5636363636363635
56	5.642857142857143	1	0.0
59	5.610169491525424	4	0.8644067796610173
60	5.541666666666666	2	0.3249999999999993
61	5.409836065573771	1	0.0
63	6.492063492063492	1	0.0
64	5.78125	1	0.0
65	5.7	2	0.29999999999999893
67	5.432835820895522	1	0.0
68	5.235294117647059	1	0.0
69	4.36231884057971	1	0.0
70	4.514285714285714	1	0.0
71	5.690140845070423	1	0.0
75	5.0	1	0.0
78	6.423076923076923	1	0.0
80	5.4875	1	0.0
121	5.3347107438016526	2	0.7479338842975203
