u1	u2	nobservations	iqr
1	4.50635593220339	472	2.0
2	3.4094572810317034	1861	1.5
3	3.54256854256854	1617	1.3333333333333335
4	3.7507530120481927	1328	1.25
5	3.81525054466231	918	1.2000000000000002
6	3.89605734767025	651	0.9999999999999996
7	3.866419294990721	462	0.8571428571428572
8	3.984025559105431	313	1.125
9	4.013947001394701	239	0.7777777777777777
10	3.9816455696202513	158	0.9000000000000004
11	4.02673796791444	102	0.7272727272727271
12	4.033536585365853	82	0.8750000000000004
13	4.025641025641028	51	0.9615384615384617
14	4.100840336134454	34	0.8392857142857149
15	3.989583333333333	32	0.46666666666666723
16	4.244047619047619	21	0.875
17	4.334558823529412	16	0.8529411764705879
18	4.157407407407407	12	0.5694444444444438
19	4.350877192982456	3	0.6052631578947367
20	4.65	2	0.35000000000000053
21	3.9523809523809526	5	0.6190476190476191
22	4.1060606060606055	6	0.6477272727272734
23	4.5434782608695645	2	0.19565217391304301
24	4.375	1	0.0
25	4.7	2	0.5400000000000009
27	4.444444444444445	1	0.0
28	3.946428571428571	2	1.0178571428571423
35	4.542857142857143	1	0.0
