u1	u2	nobservations	iqr
1	7.467741935483871	310	4.0
2	5.385897435897436	390	2.5
3	4.875457875457874	364	2.0000000000000004
4	4.634858044164038	317	2.0
5	4.270491803278689	244	1.7999999999999998
6	4.030398322851153	159	1.1666666666666665
7	3.9705215419501148	126	1.1428571428571428
8	3.83974358974359	78	1.125
9	4.021680216802169	41	1.3333333333333335
10	3.615384615384615	26	0.7749999999999999
11	3.9242424242424243	18	1.022727272727273
12	3.555555555555556	15	0.6666666666666665
13	3.794871794871795	6	0.4615384615384617
14	3.5357142857142856	2	0.17857142857142883
15	3.466666666666667	2	0.39999999999999947
16	3.515625	4	0.265625
18	3.416666666666667	2	0.5277777777777781
21	4.0476190476190474	1	0.0
