language	r	p	range
Afrikaans	-0.6388028895768835	0.005304559140148346	18.0
Akkadian	0.08333333333333333	0.8431823192239859	9.0
Amharic	-0.10714285714285711	0.8396825396825397	7.0
Ancient_Greek	-0.37118437118437114	0.05741778601410731	27.0
Arabic	-0.41711229946524064	0.016429791758422484	34.0
Armenian	0.19117647058823528	0.47692825623999363	16.0
Bambara	-0.08571428571428572	0.9194444444444444	6.0
Basque	-0.5384615384615384	0.049989136015595514	14.0
Belarusian	0.16403162055335968	0.4527836535027398	23.0
Breton	0.8571428571428569	0.023809523809523808	7.0
Bulgarian	0.7193675889328064	0.0001654415023536396	23.0
Buryat	0.8928571428571427	0.012301587301587301	7.0
Cantonese	0.880952380952381	0.007242063492063492	8.0
Catalan	0.10268270120259018	0.4958703772404537	46.0
Chinese	-0.4298701298701299	0.053096674995870105	21.0
Classical_Chinese	0.17272727272727273	0.6144260137249724	11.0
Coptic	-0.1826625386996904	0.46661817110509823	18.0
Croatian	-0.25335775335775335	0.20150597346555327	27.0
Czech	0.5969495620658412	3.4402449410171593e-05	43.0
Danish	-0.517786561264822	0.014745939515797458	22.0
Dutch	0.025384615384615387	0.9048254563765015	25.0
English	0.8612967914438503	1.6051953432387238e-07	33.0
Erzya	0.0	1.0	7.0
Estonian	-0.5176923076923078	0.008850883407831533	25.0
Faroese	-0.5516483516483516	0.0438823482545077	14.0
Finnish	0.23320158102766797	0.2948689093666259	22.0
French	0.3075046904315197	0.05401369603369533	41.0
Galician	-0.2880061115355233	0.09873040501482083	34.0
German	-0.7685971685971688	4.6169863989988187e-07	37.0
Gothic	0.4392857142857142	0.10319921593855205	15.0
Greek	0.7120271033314511	0.00029733109076397876	22.0
Hebrew	0.23070077864293662	0.21909803543554837	30.0
Hindi	-0.6564171122994652	5.099298442199436e-05	33.0
Hungarian	0.20882352941176469	0.4363220326232682	17.0
Icelandic	0.4149400986610289	0.005434614850381431	45.0
Indonesian	0.5128458498023715	0.013400125026533993	23.0
Irish	0.7011965811965811	0.00010068237662253491	27.0
Italian	0.575889328063241	4.819174813248195e-05	45.0
Japanese	-0.13563049853372433	0.45763137766836803	32.0
Kazakh	0.39285714285714274	0.3956349206349206	7.0
Kiche	0.9428571428571428	0.016666666666666666	6.0
Komi_Zyrian	0.46428571428571414	0.30238095238095236	7.0
Korean	-0.15584415584415584	0.4983085639629752	22.0
Kurmanji	0.39285714285714274	0.3956349206349206	7.0
Latin	-0.47787456445993043	0.0017767881184267845	42.0
Latvian	0.6304347826086956	0.001231702119064588	24.0
Lithuanian	-0.07598039215686275	0.7728891121283984	17.0
Maltese	-0.15263157894736842	0.531341182185598	20.0
Manx	0.3095238095238096	0.4618055555555556	8.0
North_Sami	0.55	0.13277667548500882	9.0
Norwegian	-0.31532258064516133	0.08436435138733062	31.0
Old_Church_Slavonic	0.05494505494505495	0.8632355843741628	13.0
Old_East_Slavic	0.37142857142857144	0.10757515952060255	20.0
Old_French	0.01948051948051948	0.9347979869837836	21.0
Persian	-0.0731951871657754	0.684648895711836	33.0
Polish	0.4721367521367521	0.015821470900958506	26.0
Portuguese	0.6965587044534413	1.9761399243716188e-06	40.0
Romanian	0.38395885764306814	0.017909012064686692	38.0
Russian	0.13537221431958274	0.42291952619577955	37.0
Sanskrit	-0.3818181818181818	0.27896521611631725	10.0
Scottish_Gaelic	0.39582156973461313	0.06925163814008926	22.0
Serbian	-0.4103896103896104	0.06579699516980562	21.0
Slovak	0.9205882352941176	0.0	16.0
Slovenian	0.08893280632411067	0.6857735634208888	23.0
Spanish	0.18357142857142855	0.2060966699070038	49.0
Swedish	-0.5418803418803418	0.004827062819167386	26.0
Tamil	0.5878787878787879	0.0802150639781516	10.0
Thai	-0.29285714285714276	0.28874070821626135	15.0
Turkish_German	-0.2197802197802198	0.4703525622070208	13.0
Turkish	0.9322416713721061	4.118611749216026e-06	22.0
Ukrainian	0.7922077922077922	2.4841809472277783e-05	22.0
Upper_Sorbian	0.5476190476190477	0.17098214285714286	8.0
Urdu	-0.43645320197044324	0.018772683761791878	29.0
Uyghur	0.7972027972027973	0.003161252109393291	12.0
Vietnamese	0.7212121212121211	0.02419458752846973	10.0
Welsh	0.5922077922077922	0.005491770114534774	21.0
Western_Armenian	0.19230769230769232	0.5291847369206238	13.0
Wolof	-0.2776057791537668	0.2637037183197145	18.0
