language	r	p	range
Afrikaans	-1.0	0.08333333333333333	4.0
Akkadian	-0.8	0.3333333333333333	4.0
Amharic	-1.0	0.3333333333333333	3.0
Ancient_Greek	-0.9757575757575756	0.0	10.0
Arabic	0.9999999999999998	0.0003968253968253968	7.0
Armenian	-0.8928571428571427	0.012301587301587301	7.0
Bambara	0.6999999999999998	0.23333333333333334	5.0
Basque	-0.9999999999999998	0.0003968253968253968	7.0
Belarusian	0.5357142857142856	0.2357142857142857	7.0
Breton	-1.0	0.3333333333333333	3.0
Bulgarian	0.028571428571428574	1.0	6.0
Buryat	-1.0	0.08333333333333333	4.0
Cantonese	-0.5999999999999999	0.35	5.0
Catalan	-0.9	0.0020282186948853615	9.0
Chinese	-0.990909090909091	0.0	11.0
Classical_Chinese	-0.8999999999999998	0.08333333333333333	5.0
Coptic	-0.9999999999999998	0.0003968253968253968	7.0
Croatian	-0.9285714285714287	0.002232142857142857	8.0
Czech	0.018181818181818177	0.9728411761436363	10.0
Danish	-0.08571428571428572	0.9194444444444444	6.0
Dutch	0.6571428571428571	0.175	6.0
English	0.11666666666666667	0.7756283068783069	9.0
Erzya	-0.8999999999999998	0.08333333333333333	5.0
Estonian	-0.5	0.17766203703703703	9.0
Faroese	0.39285714285714274	0.3956349206349206	7.0
Finnish	-0.07142857142857144	0.8819940476190476	8.0
French	-0.75	0.02549052028218695	9.0
Galician	-0.9428571428571428	0.016666666666666666	6.0
German	-0.21428571428571422	0.6615079365079365	7.0
Gothic	0.4857142857142857	0.35555555555555557	6.0
Greek	0.6571428571428571	0.175	6.0
Hebrew	-0.8928571428571427	0.012301587301587301	7.0
Hindi	-0.9999999999999998	0.016666666666666666	5.0
Hungarian	-0.6999999999999998	0.23333333333333334	5.0
Icelandic	0.557142857142857	0.033574653493354846	15.0
Indonesian	-0.9642857142857141	0.002777777777777778	7.0
Irish	0.31428571428571433	0.5638888888888889	6.0
Italian	-0.8833333333333333	0.0030753968253968253	9.0
Japanese	-0.9833333333333333	4.96031746031746e-05	9.0
Kazakh	-1.0	0.3333333333333333	3.0
Kiche	-0.9999999999999998	1.0	2.0
Komi_Zyrian	-1.0	0.08333333333333333	4.0
Korean	-0.9999999999999998	0.0	10.0
Kurmanji	-1.0	0.3333333333333333	3.0
Latin	0.0035714285714285704	0.9948872485571889	15.0
Latvian	-0.642857142857143	0.09618055555555556	8.0
Lithuanian	-0.4999999999999999	0.26666666666666666	7.0
Maltese	-0.33333333333333337	0.4278769841269841	8.0
Manx	1.0	0.3333333333333333	3.0
North_Sami	-0.4	0.75	4.0
Norwegian	0.40476190476190477	0.32683531746031746	8.0
Old_Church_Slavonic	0.5714285714285713	0.2	7.0
Old_East_Slavic	0.21428571428571422	0.6615079365079365	7.0
Old_French	0.7857142857142855	0.04801587301587302	7.0
Persian	-0.95	0.0003527336860670194	9.0
Polish	0.6833333333333333	0.05031966490299824	9.0
Portuguese	-0.8833333333333333	0.0030753968253968253	9.0
Romanian	0.0	1.0	11.0
Russian	0.13636363636363635	0.6935111747910492	11.0
Sanskrit	-0.29999999999999993	0.6833333333333333	5.0
Scottish_Gaelic	0.9428571428571428	0.016666666666666666	6.0
Serbian	-0.9642857142857141	0.002777777777777778	7.0
Slovak	0.29999999999999993	0.6833333333333333	5.0
Slovenian	-0.21428571428571422	0.6615079365079365	7.0
Spanish	-0.9272727272727272	0.0	11.0
Swedish	-0.21428571428571433	0.6190972222222222	8.0
Tamil	-0.8	0.3333333333333333	4.0
Thai	-0.9999999999999998	0.0003968253968253968	7.0
Turkish_German	-1.0	0.002777777777777778	6.0
Turkish	0.23809523809523814	0.5821428571428572	8.0
Ukrainian	-0.14285714285714282	0.7825396825396825	7.0
Upper_Sorbian	-1.0	0.3333333333333333	3.0
Urdu	-0.6999999999999998	0.23333333333333334	5.0
Uyghur	-0.9999999999999998	0.016666666666666666	5.0
Vietnamese	-0.9999999999999998	0.016666666666666666	5.0
Welsh	-0.8999999999999998	0.08333333333333333	5.0
Western_Armenian	-0.6785714285714284	0.10952380952380952	7.0
Wolof	-1.0	4.96031746031746e-05	8.0
