language	r	p	range
Afrikaans	-0.38333333333333336	0.3125	20.0
Akkadian	-0.5176470588235293	0.04232161514317476	19.0
Amharic	-0.6969696969696969	0.03114109545956814	14.0
Ancient_Greek	0.5386639676113361	0.0004926787071765652	39.0
Arabic	-0.3333333333333333	0.08974036045382805	31.0
Armenian	0.8075187969924812	1.8007234573156532e-05	23.0
Bambara	-0.8166666666666667	0.010769400352733686	12.0
Basque	0.8745059288537549	2.6633999267572294e-06	24.0
Belarusian	0.03225806451612903	0.8656813666969866	31.0
Breton	-0.39285714285714274	0.3956349206349206	9.0
Bulgarian	0.2529477196885428	0.17689529185151553	30.0
Buryat	-0.46428571428571414	0.30238095238095236	9.0
Cantonese	-0.46428571428571414	0.30238095238095236	8.0
Catalan	-0.8048122686409307	0.0	62.0
Chinese	-0.05365853658536587	0.7382641313836105	41.0
Classical_Chinese	0.0588235294117647	0.8307311154577256	16.0
Coptic	0.5	1.0	17.0
Croatian	-0.17188693659281895	0.3296549143259674	37.0
Czech	0.681024531024531	3.546812276501655e-08	55.0
Danish	0.17661290322580647	0.34041458786843093	31.0
Dutch	0.24258671627092676	0.1419662993590334	38.0
English	0.4957011980267795	0.0007263472493207409	44.0
Erzya	0.3566433566433567	0.25601253730902407	12.0
Estonian	0.5382734912146676	0.001213610153265716	34.0
Faroese	-0.9662337662337663	5.024010183103077e-06	24.0
Finnish	0.614238042269188	0.0004029265847194603	30.0
French	-0.23171336001524678	0.09185408874673302	54.0
Galician	-0.9310344827586208	6.214823177864721e-08	48.0
German	-0.9485714285714284	0.0	49.0
Gothic	0.43506493506493504	0.050057097278165825	21.0
Greek	-0.4596491228070176	0.04933557029489871	29.0
Hebrew	-0.5878787878787879	3.851397848228501e-05	52.0
Hindi	0.8065433854907539	8.148526272735247e-08	42.0
Hungarian	0.21078431372549022	0.41524711273439663	25.0
Icelandic	-0.6762342135476465	0.0	68.0
Indonesian	-0.6120133481646274	0.0004277028740600619	33.0
Irish	0.5257703081232493	0.0013796649449825372	37.0
Italian	-0.38946678321678324	0.0014512269384391837	71.0
Japanese	-0.8925087108013938	0.0	45.0
Kazakh	0.6666666666666667	0.08308531746031746	10.0
Kiche	-0.9761904761904763	0.0003968253968253968	9.0
Komi_Zyrian	-0.4857142857142857	0.35555555555555557	8.0
Korean	-0.669059829059829	0.00026455737536735537	27.0
Kurmanji	-0.8999999999999998	0.08333333333333333	12.0
Latin	-0.2626831501831502	0.03628577210664362	64.0
Latvian	0.8411000763941939	1.7848430956397593e-07	35.0
Lithuanian	-0.1155844155844156	0.6167309434525644	22.0
Maltese	-0.2720588235294118	0.2897007181656713	27.0
Manx	-0.43333333333333335	0.24991732804232805	11.0
North_Sami	0.8296703296703297	0.0007779271154442708	14.0
Norwegian	0.10163092721232257	0.5154012311183027	43.0
Old_Church_Slavonic	0.04025974025974026	0.8633429137125677	21.0
Old_East_Slavic	0.4645320197044334	0.011875051861924545	29.0
Old_French	-0.5394883203559511	0.002428530935223476	30.0
Persian	-0.775408163265306	0.0	50.0
Polish	0.5703590527119938	0.0005362492455644308	34.0
Portuguese	-0.8489405331510594	0.0	56.0
Romanian	0.18978912319644836	0.17731405501356604	54.0
Russian	0.3337187789084181	0.022344838758723864	49.0
Sanskrit	-0.7054945054945055	0.006405394746726406	15.0
Scottish_Gaelic	0.31076923076923074	0.13055412159217764	28.0
Serbian	-0.7556650246305417	4.8489081811565785e-06	33.0
Slovak	0.4477696216826651	0.03795752428956504	22.0
Slovenian	0.9307184750733138	0.0	32.0
Spanish	-0.8964617472080161	0.0	67.0
Swedish	-0.9501909854851032	0.0	34.0
Tamil	-0.5	1.0	5.0
Thai			20.0
Turkish_German	-0.9133126934984521	0.0	22.0
Turkish	0.3798387096774194	0.03583495184004747	31.0
Ukrainian	0.8507389162561575	9.582274080702892e-07	30.0
Upper_Sorbian			
Urdu	0.15765765765765766	0.35001681780946015	44.0
Uyghur	0.1127450980392157	0.6664242810585438	18.0
Vietnamese	-0.806060606060606	0.008235570822851136	12.0
Welsh	0.8596491228070176	0.0	25.0
Western_Armenian	0.0607142857142857	0.8324261789187434	17.0
Wolof	-0.5804511278195488	0.00836367575919517	25.0
